noft_ocrn_dt,crtr_ymd,noft_se_cd,noft_se_nm,noft_ttl,noft_cn,nonstop_yn,upbdnb_se,xcse_sitn_bgng_dt,xcse_sitn_end_dt,line_nm_lst,stn_sctn_cd_lst,event_tags,primary_tag,primary_tag_ko,crowd_relevance,has_protest_kw,has_nonstop_kw,has_event_kw
2021-02-10T10:00:00,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"서울교통공사에서 알려드립니다.
오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T10:10:40,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"서울교통공사에서 알려드립니다.
오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T10:12:08,20210210,6,기타,4호선 장애인단체 열차시위 사전예고,"오늘 14시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철 타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역 간 열차 운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.-서울교통공사 종합관제단 02-10 10:08:58",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T11:45:42,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T13:53:47,20210210,6,기타,4호선 하선 열차(당고개역~서울역) 장애인단체 시위 관련 사전안내,"오늘 오후 2시부터 4호선 당고개역에서 서울역까지 장애인단체에서 휠체어로 지하철타기 시위가 있을 예정입니다.
이에 따라 4호선 당고개역에서 서울역간 열차운행이 상당시간 지연될 수 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다.",N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T15:26:07,20210210,6,기타,4호선 장애인 단체 열차시위 중,4호선 당고개역에서 서울역까지 장애인 단체에서 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 4호선 당고개역에서 서울역 간 열차 운행이 상당시간 지연되고 있사오니 이점 참고하시어 열차를 이용하여 주시기 바랍니다. - 서울교통공사 종합관제단  02-10 15:22:57,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T15:32:18,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 열차지연,현재 4호선 당고개역에서 서울역까지 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 열차 운행이 상당시간 지연되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 15:29:07,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T15:36:26,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 열차지연,현재 4호선 당고개역에서 서울역까지 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 열차 운행이 상당시간 지연되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 15:29:07 02-10 15:33:15,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T15:52:18,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 열차지연,현재 4호선 당고개역에서 서울역까지 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 열차 운행이 상당시간 지연되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 15:49:07,N,,,,4호선,"0409, 0410, 0411, 0412, 0413, 0414, 0415, 0416, 0417, 0418, 0419, 0420, 0421, 0422, 0423, 0424, 0425, 0426",protest,protest,시위·집회,medium,true,false,false
2021-02-10T17:02:40,20210210,5,단순지연,장애인 단체 시위로 인한 4호선 전구간 열차지연,현재 4호선 당고개역에서 서울역간 장애인 단체의 &apos;휠체어로 지하철 타기&apos; 시위로 인하여 4호선 전구간 열차가 상당시간 지연운행 되고 있습니다. 열차 이용에 불편을 드려 대단히 죄송합니다. - 서울교통공사 종합관제단 02-10 16:59:29,N,,,,4호선,전구간,protest,protest,시위·집회,medium,true,false,false
